Steven Castro,35.81615,25.56982,3,36433
Amy Thomas,8.08828,10.67606,0,41039
Mark Jacobs,20.8823,9.75203,1,93365
Mary Murphy,15.01095,36.60079,2,48508
Leon Boyd,24.59768,24.05329,3,22164
Shannon Martinez,26.21303,43.16623,0,71412
Kyle Taylor,32.63635,38.81337,1,85628
Jennifer Harris,7.89405,16.52342,2,62285
Tabitha Taylor,8.33022,24.77149,3,75393
Joanna Odonnell,45.42346,21.57083,0,20429
Mark Clay,39.47859,58.83246,1,85700
Laurie Norris,29.46394,13.67313,2,11511
David Paul,34.18677,41.27957,3,10794
Mary Everett,19.30218,26.63344,0,78812
Adam Mitchell,35.42079,61.36621,1,98176
Ronald Vasquez,28.74508,8.11033,2,32971
Rachel Collier,36.59338,20.61266,3,43099
Chelsea Moon,36.5906,51.49331,0,98242
Donna Rodriguez,44.8327,25.9638,1,66113
Nathaniel Obrien,34.65005,55.71577,2,88933
Justin Black,9.80721,23.96899,3,92070
Audrey Phillips,33.34052,39.57212,0,31805
Lee Blake,11.90834,31.8557,1,26937
Samuel Foster,27.00604,31.52416,2,85106
Emily Rodgers,25.20259,22.07693,3,95688
Calvin Brown,32.0475,30.46415,0,93830
Benjamin Jenkins,35.09119,50.36311,1,39770
Shelby Fry,3.16605,19.92924,2,93165
Cody Welch,38.81093,26.26374,3,14595
Brian Phillips,23.22268,31.15642,0,39846
Michael Murray,11.08228,22.20573,1,77531
Robert Horn,7.21637,17.96331,2,80394
Melinda Holt,16.56987,21.4288,3,69166
Judith Oneal,11.44308,17.2689,0,10295
Mark Williams,45.25402,25.59773,1,87396
Michael Porter,33.39237,15.27365,2,89972
Linda Davis,36.04593,12.13962,3,88709
Jessica Wells,48.91489,28.40353,0,24960
John Taylor,45.86665,34.20914,1,89323
Nicole Kline,18.35287,29.00181,2,20826
Kyle Hamilton,18.70035,4.94983,3,85432
David Soto,19.27202,34.37867,0,45356
Anthony Duran,34.30098,34.26214,1,34657
Derrick Barber,38.26683,31.09427,2,63023
Timothy Hall,15.33798,37.90074,3,58760
Victor Young,27.71208,43.82228,0,66647
Tasha Porter,0.62611,19.51495,1,53001
